config,row_label,col_label,value_row_norm,value_col_norm
Full-Triplet,Ligament,IntervertebralDisc,0.004991680532445923,0.0125
Full-Triplet,Ligament,Skeleton,0.0033277870216306157,0.012987012987012988
Full-Triplet,Ligament,Ligament,0.8519134775374376,0.927536231884058
Full-Triplet,Ligament,Muscle,0.004991680532445923,0.06382978723404255
Full-Triplet,Ligament,Nerve,0.0033277870216306157,0.0035971223021582736
Full-Triplet,Ligament,IntervertebralDiscHerniation,0.0016638935108153079,0.010869565217391304
Full-Triplet,Ligament,background,0.129783693843594,0.3132530120481928
Full-Triplet,Muscle,IntervertebralDisc,0.0,0.0
Full-Triplet,Muscle,Skeleton,0.023809523809523808,0.006493506493506494
Full-Triplet,Muscle,Ligament,0.0,0.0
Full-Triplet,Muscle,Muscle,0.8571428571428571,0.7659574468085106
Full-Triplet,Muscle,Nerve,0.0,0.0
Full-Triplet,Muscle,IntervertebralDiscHerniation,0.0,0.0
Full-Triplet,Muscle,background,0.11904761904761904,0.020080321285140562
Full-Triplet,Nerve,IntervertebralDisc,0.0034782608695652175,0.008333333333333333
Full-Triplet,Nerve,Skeleton,0.0017391304347826088,0.006493506493506494
Full-Triplet,Nerve,Ligament,0.0,0.0
Full-Triplet,Nerve,Muscle,0.0,0.0
Full-Triplet,Nerve,Nerve,0.8643478260869565,0.8938848920863309
Full-Triplet,Nerve,IntervertebralDiscHerniation,0.0,0.0
Full-Triplet,Nerve,background,0.13043478260869565,0.30120481927710846
Full-Triplet,IntervertebralDiscHerniation,IntervertebralDisc,0.010101010101010102,0.004166666666666667
Full-Triplet,IntervertebralDiscHerniation,Skeleton,0.0,0.0
Full-Triplet,IntervertebralDiscHerniation,Ligament,0.0,0.0
Full-Triplet,IntervertebralDiscHerniation,Muscle,0.0,0.0
Full-Triplet,IntervertebralDiscHerniation,Nerve,0.0,0.0
Full-Triplet,IntervertebralDiscHerniation,IntervertebralDiscHerniation,0.7878787878787878,0.8478260869565217
Full-Triplet,IntervertebralDiscHerniation,background,0.20202020202020202,0.08032128514056225
Full-Triplet,background,IntervertebralDisc,0.1103448275862069,0.06666666666666667
Full-Triplet,background,Skeleton,0.1103448275862069,0.1038961038961039
Full-Triplet,background,Ligament,0.2689655172413793,0.07065217391304347
Full-Triplet,background,Muscle,0.04827586206896552,0.14893617021276595
Full-Triplet,background,Nerve,0.3793103448275862,0.09892086330935251
Full-Triplet,background,IntervertebralDiscHerniation,0.08275862068965517,0.13043478260869565
Full-Triplet,background,background,0.0,0.0
Full-CA,IntervertebralDisc,IntervertebralDisc,0.8503937007874016,0.9
Full-CA,IntervertebralDisc,Skeleton,0.0,0.0
Full-CA,IntervertebralDisc,Ligament,0.0,0.0
Full-CA,IntervertebralDisc,Muscle,0.0,0.0
Full-CA,IntervertebralDisc,Nerve,0.0,0.0
Full-CA,IntervertebralDisc,IntervertebralDiscHerniation,0.011811023622047244,0.03260869565217391
Full-CA,IntervertebralDisc,background,0.1377952755905512,0.15283842794759825
Full-CA,Skeleton,IntervertebralDisc,0.0,0.0
Full-CA,Skeleton,Skeleton,0.7848837209302325,0.8766233766233766
Full-CA,Skeleton,Ligament,0.0,0.0
Full-CA,Skeleton,Muscle,0.005813953488372093,0.02127659574468085
Full-CA,Skeleton,Nerve,0.005813953488372093,0.0017985611510791368
Full-CA,Skeleton,IntervertebralDiscHerniation,0.0,0.0
Full-CA,Skeleton,background,0.20348837209302326,0.15283842794759825
Full-CA,Ligament,IntervertebralDisc,0.0033444816053511705,0.008333333333333333
Full-CA,Ligament,Skeleton,0.005016722408026756,0.01948051948051948
Full-CA,Ligament,Ligament,0.8511705685618729,0.9221014492753623
Full-CA,Ligament,Muscle,0.0033444816053511705,0.0425531914893617
Full-CA,Ligament,Nerve,0.0033444816053511705,0.0035971223021582736
Full-CA,Ligament,IntervertebralDiscHerniation,0.0016722408026755853,0.010869565217391304
