config,seed,class_name,map50_95
Full-Triplet,10,Muscle,0.5553514746879371
Full-Triplet,10,Nerve,0.6102477014181935
Full-Triplet,10,Herniation,0.5215392324964103
Full-CA,1,Disc,0.6110303781895443
Full-CA,1,Skeleton,0.5642378977601987
Full-CA,1,Ligament,0.6324675398266397
Full-CA,1,Muscle,0.580320716058445
Full-CA,1,Nerve,0.6116684406676408
Full-CA,1,Herniation,0.4909959019724524
Full-CA,2,Disc,0.6256280789136148
Full-CA,2,Skeleton,0.5905149860980399
Full-CA,2,Ligament,0.6397665084156074
Full-CA,2,Muscle,0.5645849592217078
Full-CA,2,Nerve,0.6209325348601171
Full-CA,2,Herniation,0.4920062547574397
Full-CA,3,Disc,0.6201579446761967
Full-CA,3,Skeleton,0.604218074846625
Full-CA,3,Ligament,0.6429504764282283
Full-CA,3,Muscle,0.591183400395939
Full-CA,3,Nerve,0.6162987394387146
Full-CA,3,Herniation,0.48051480175368305
Full-CA,4,Disc,0.6216381113684666
Full-CA,4,Skeleton,0.5760080429401804
Full-CA,4,Ligament,0.6430175030912865
Full-CA,4,Muscle,0.6021170192601394
Full-CA,4,Nerve,0.6165518062418205
Full-CA,4,Herniation,0.49988173308558526
Full-CA,5,Disc,0.642143188699934
Full-CA,5,Skeleton,0.6168824136156809
Full-CA,5,Ligament,0.6564306664496706
Full-CA,5,Muscle,0.5900085694235122
Full-CA,5,Nerve,0.6270664320661952
Full-CA,5,Herniation,0.4962718539017731
Full-CA,6,Disc,0.6138651363069227
Full-CA,6,Skeleton,0.5855728547761944
Full-CA,6,Ligament,0.6407210800917726
Full-CA,6,Muscle,0.5525086870128655
Full-CA,6,Nerve,0.6122651702577504
Full-CA,6,Herniation,0.5113705754351042
Full-CA,7,Disc,0.6233997246818745
Full-CA,7,Skeleton,0.5813925395886912
Full-CA,7,Ligament,0.6422904440727393
Full-CA,7,Muscle,0.5716130128272503
Full-CA,7,Nerve,0.6135792393795401
Full-CA,7,Herniation,0.49627397092730724
Full-CA,8,Disc,0.623581000649232
Full-CA,8,Skeleton,0.5883434398009361
Full-CA,8,Ligament,0.6414413209994645
Full-CA,8,Muscle,0.5844800786686541
Full-CA,8,Nerve,0.6145584392339618
Full-CA,8,Herniation,0.5078826397627454
Full-CA,9,Disc,0.6200458344404877
Full-CA,9,Skeleton,0.593129332263165
Full-CA,9,Ligament,0.6369809411764844
Full-CA,9,Muscle,0.5853728713738017
Full-CA,9,Nerve,0.6091396306052592
Full-CA,9,Herniation,0.49874355581328345
Full-CA,10,Disc,0.6238508236055924
Full-CA,10,Skeleton,0.5797278641406991
Full-CA,10,Ligament,0.6452680074706809
Full-CA,10,Muscle,0.6035918833173592
Full-CA,10,Nerve,0.6152579160383234
Full-CA,10,Herniation,0.535055066609133
