config,seed,class_name,map50_95
Hybrid-L27CA,4,IntervertebralDiscHerniation,0.5038802765471286
Hybrid-L27CA,5,IntervertebralDisc,0.6130357430901376
Hybrid-L27CA,5,Skeleton,0.5809140489480296
Hybrid-L27CA,5,Ligament,0.6456166473984963
Hybrid-L27CA,5,Muscle,0.566978306283649
Hybrid-L27CA,5,Nerve,0.6108091839308057
Hybrid-L27CA,5,IntervertebralDiscHerniation,0.5033090660625937
Hybrid-L27CA,6,IntervertebralDisc,0.6102878443512826
Hybrid-L27CA,6,Skeleton,0.59047760983468
Hybrid-L27CA,6,Ligament,0.6321437999608255
Hybrid-L27CA,6,Muscle,0.5286452949259289
Hybrid-L27CA,6,Nerve,0.6186966659549382
Hybrid-L27CA,6,IntervertebralDiscHerniation,0.4936956286336673
Hybrid-L27CA,7,IntervertebralDisc,0.6164966630715026
Hybrid-L27CA,7,Skeleton,0.5883864590917455
Hybrid-L27CA,7,Ligament,0.6375222340984379
Hybrid-L27CA,7,Muscle,0.5769288379399319
Hybrid-L27CA,7,Nerve,0.614371375672744
Hybrid-L27CA,7,IntervertebralDiscHerniation,0.5119992188059282
Hybrid-L27CA,8,IntervertebralDisc,0.6059635939913429
Hybrid-L27CA,8,Skeleton,0.5806961897375756
Hybrid-L27CA,8,Ligament,0.6404698474396859
Hybrid-L27CA,8,Muscle,0.5620078581841133
Hybrid-L27CA,8,Nerve,0.6182805013550917
Hybrid-L27CA,8,IntervertebralDiscHerniation,0.5039164583298356
Hybrid-L27CA,9,IntervertebralDisc,0.6138139086043773
Hybrid-L27CA,9,Skeleton,0.5937622329828083
Hybrid-L27CA,9,Ligament,0.644094116160943
Hybrid-L27CA,9,Muscle,0.5916621421600097
Hybrid-L27CA,9,Nerve,0.6168685818356441
Hybrid-L27CA,9,IntervertebralDiscHerniation,0.502392056887836
Hybrid-L27CA,10,IntervertebralDisc,0.6227096765079935
Hybrid-L27CA,10,Skeleton,0.5884172312073754
Hybrid-L27CA,10,Ligament,0.6355130422780221
Hybrid-L27CA,10,Muscle,0.5737058192387079
Hybrid-L27CA,10,Nerve,0.6105573104682727
Hybrid-L27CA,10,IntervertebralDiscHerniation,0.5154596450666286
Hybrid-L15CA,1,IntervertebralDisc,0.6253031327591216
Hybrid-L15CA,1,Skeleton,0.5858518729121471
Hybrid-L15CA,1,Ligament,0.6339359629160788
Hybrid-L15CA,1,Muscle,0.5624473124651429
Hybrid-L15CA,1,Nerve,0.6108833880819668
Hybrid-L15CA,1,IntervertebralDiscHerniation,0.4922651780627921
Hybrid-L15CA,2,IntervertebralDisc,0.6264002848847822
Hybrid-L15CA,2,Skeleton,0.6002744899289463
Hybrid-L15CA,2,Ligament,0.6501560290199337
Hybrid-L15CA,2,Muscle,0.6105917317503664
Hybrid-L15CA,2,Nerve,0.6144714347635409
Hybrid-L15CA,2,IntervertebralDiscHerniation,0.5150201423971561
Hybrid-L15CA,3,IntervertebralDisc,0.6157754064342452
Hybrid-L15CA,3,Skeleton,0.5843841630038271
Hybrid-L15CA,3,Ligament,0.64091867606056
Hybrid-L15CA,3,Muscle,0.5646140985885094
Hybrid-L15CA,3,Nerve,0.6131938762481297
Hybrid-L15CA,3,IntervertebralDiscHerniation,0.5005525968683584
Hybrid-L15CA,4,IntervertebralDisc,0.6204726115894992
Hybrid-L15CA,4,Skeleton,0.5874416201508919
Hybrid-L15CA,4,Ligament,0.6351576358165653
Hybrid-L15CA,4,Muscle,0.5695420350828769
Hybrid-L15CA,4,Nerve,0.6177964408765928
Hybrid-L15CA,4,IntervertebralDiscHerniation,0.534535637495941
Hybrid-L15CA,5,IntervertebralDisc,0.6199280282394654
Hybrid-L15CA,5,Skeleton,0.5969683848456433
Hybrid-L15CA,5,Ligament,0.6435447760435025
Hybrid-L15CA,5,Muscle,0.581899939703281
Hybrid-L15CA,5,Nerve,0.6131199808835901
Hybrid-L15CA,5,IntervertebralDiscHerniation,0.49553535953990124
Hybrid-L15CA,6,IntervertebralDisc,0.6198530296913669
Hybrid-L15CA,6,Skeleton,0.585989467667553
Hybrid-L15CA,6,Ligament,0.6440089327971729
Hybrid-L15CA,6,Muscle,0.5406989348158581
Hybrid-L15CA,6,Nerve,0.6125438840655859
Hybrid-L15CA,6,IntervertebralDiscHerniation,0.5033090912807182
Hybrid-L15CA,7,IntervertebralDisc,0.610849400416072
Hybrid-L15CA,7,Skeleton,0.5647745411551676
Hybrid-L15CA,7,Ligament,0.6300940854652686
Hybrid-L15CA,7,Muscle,0.5839542568735852
Hybrid-L15CA,7,Nerve,0.6222860239938018
Hybrid-L15CA,7,IntervertebralDiscHerniation,0.5101879832826111
Hybrid-L15CA,8,IntervertebralDisc,0.6373677989669537
Hybrid-L15CA,8,Skeleton,0.5842468639548755
Hybrid-L15CA,8,Ligament,0.635009807356839
Hybrid-L15CA,8,Muscle,0.5709864035924974
Hybrid-L15CA,8,Nerve,0.6107832451829999
Hybrid-L15CA,8,IntervertebralDiscHerniation,0.5147512779930274
Hybrid-L15CA,9,IntervertebralDisc,0.6255508296549561
Hybrid-L15CA,9,Skeleton,0.6020910404115262
Hybrid-L15CA,9,Ligament,0.6486792591793604
Hybrid-L15CA,9,Muscle,0.5718642045541658
Hybrid-L15CA,9,Nerve,0.6173508927452707
Hybrid-L15CA,9,IntervertebralDiscHerniation,0.520572845353772
Hybrid-L15CA,10,IntervertebralDisc,0.6161984404967031
Hybrid-L15CA,10,Skeleton,0.585877095707412
Hybrid-L15CA,10,Ligament,0.6365407236668066
Hybrid-L15CA,10,Muscle,0.5643456542427618
Hybrid-L15CA,10,Nerve,0.6140963429603621
Hybrid-L15CA,10,IntervertebralDiscHerniation,0.530239226442604
Full-Triplet,1,IntervertebralDisc,0.620326718180231
Full-Triplet,1,Skeleton,0.574721285727118
Full-Triplet,1,Ligament,0.6386993444081629
Full-Triplet,1,Muscle,0.5815266181224671
Full-Triplet,1,Nerve,0.6189625466640299
Full-Triplet,1,IntervertebralDiscHerniation,0.48474006053160607
Full-Triplet,2,IntervertebralDisc,0.6201584710402598
Full-Triplet,2,Skeleton,0.5703058956311279
Full-Triplet,2,Ligament,0.6350703485380426
Full-Triplet,2,Muscle,0.5769740166577477
Full-Triplet,2,Nerve,0.6174113594826656
Full-Triplet,2,IntervertebralDiscHerniation,0.5182980028687232
Full-Triplet,3,IntervertebralDisc,0.6301682278235018
Full-Triplet,3,Skeleton,0.6022388584049618
Full-Triplet,3,Ligament,0.6444784543923017
Full-Triplet,3,Muscle,0.5712009462946581
Full-Triplet,3,Nerve,0.6172381342645209
Full-Triplet,3,IntervertebralDiscHerniation,0.5117993465631275
Full-Triplet,4,IntervertebralDisc,0.626391375411199
Full-Triplet,4,Skeleton,0.5827813011303851
Full-Triplet,4,Ligament,0.6337766738363609
Full-Triplet,4,Muscle,0.5368175598422089
Full-Triplet,4,Nerve,0.6156572931866914
Full-Triplet,4,IntervertebralDiscHerniation,0.5053499175768448
Full-Triplet,5,IntervertebralDisc,0.6318336851817334
Full-Triplet,5,Skeleton,0.5948340323973091
Full-Triplet,5,Ligament,0.6442425873594478
Full-Triplet,5,Muscle,0.5739251998781609
Full-Triplet,5,Nerve,0.6195280058447515
Full-Triplet,5,IntervertebralDiscHerniation,0.5016301034456206
